industry,year,quarter,avg_weekly_wage,avg_annual_wage,total_employment
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",2024,4,2629,136708,6244
"Architectural, Engineering, and Related Services",2024,4,2512,130624,9979
Scientific Research and Development Services,2024,4,2350,122200,2554
Management of Companies and Enterprises,2024,4,2331,121212,25796
Computer Systems Design and Related Services,2024,4,2320,120640,12196
"Corporate, Subsidiary, and Regional Managing Offices",2024,4,2314,120328,25166
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",2024,4,2304,119808,3457
"Electric Power Generation, Transmission and Distribution",2024,4,2278,118456,5816
Office Administrative Services,2024,4,2197,114244,3302
Wholesale Trade Agents and Brokers,2024,4,2178,113256,2277
